ad-hoc-measurement-scripts-are-code.md	60
agent-maintained-files-carry-standing-rules-only.md	39
agentmemory-mining-map.md	50
agy-commit-message-compliance-is-unreliable.md	56
boundary-nudge-internals.md	74
connect-doesnt-ensure-ignores.md	71
context-mode-blocks-files-outside-project-root.md	59
context.md	194
delegation-prompts-must-name-real-commands.md	50
dogfood-before-release.md	33
gate2-blocks-own-redaction-fixtures.md	59
gate2-fp-blocks-autonomy.md	48
gemini-reindents-whole-files-with-tabs.md	39
harness-memory-layer-rewrites-mage-frontmatter.md	55
harness-notifications-pollute-the-corrections-lens.md	63
link-harvests-must-genre-filter-sources.md	34
mage-integration-test-framework.md	47
mage-is-durable-memory.md	85
mage-main-branch-protected.md	32
mage-no-biome-2space.md	31
mature-kb-emits-no-capture-terminals.md	74
migration-field-notes.md	46
no-emojis-in-releases.md	20
notes-must-read-in-one-screen.md	12
npx-mage-runs-the-published-release.md	82
plan-v0.1-locks.md	35
plugin-directory-source-copies-untracked-tree.md	89
point-in-time-research-stays-private.md	12
prefer-the-repos-lock-free-convention.md	79
promote-folds-mechanical-tokens.md	106
redaction-anthropic-key-detector.md	41
release-bump-touches-many-artifacts.md	83
replay-gate-methodology.md	67
route-memories-to-the-matching-store.md	47
soak-monitor-blind-spots.md	134
soak-targets.md	54
status-vocabulary-drift-undercounts-filters.md	36
stopped-background-workflows-leave-no-record.md	44
test-files-were-excluded-from-typecheck.md	60
unreachable-constant-reports-a-false-state.md	56
weakening-a-test-can-delete-its-purpose.md	89
